  PID TTY           TIME CMD
92959 ttys000    0:01.11 -zsh
61466 ttys001    3:24.73 -zsh
91901 ttys002    0:00.10 -zsh
23008 ttys003    0:10.36 -zsh
56501 ttys004    2:34.55 -zsh
 9865 ttys005    0:00.02 login -fp samheilbron
 9867 ttys005    0:01.28 -zsh
97353 ttys005    0:00.01 tmux new -s test
91662 ttys006    0:00.19 -zsh
77283 ttys007    1:11.51 -zsh
91954 ttys008    0:11.10 -zsh
92226 ttys009    0:00.93 -zsh
15917 ttys010    0:02.11 -zsh
58845 ttys011    0:12.74 -zsh
22082 ttys012    0:00.37 -zsh
70815 ttys013    0:01.26 -zsh
 5570 ttys014    0:01.76 -zsh
96474 ttys015    0:02.11 -zsh
 4700 ttys016    0:00.01 ps -a
97354 ttys016    1:22.68 -zsh
66243 ttys017    0:01.86 -zsh
27226 ttys018    0:03.15 -zsh
33468 ttys019    0:08.13 -zsh
34107 ttys020    0:00.46 -zsh
46928 ttys021    0:01.45 -zsh
54996 ttys022    0:26.22 -zsh
53960 ttys023    0:18.67 -zsh
92727 ttys024    0:00.54 -zsh
42149 ttys025    0:00.13 -zsh
42204 ttys025    7:01.36 k9s
95643 ttys026    0:00.55 -zsh
70244 ttys027    0:01.94 -zsh
 4387 ttys028    0:01.80 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/pkg/bootstrap/bootstrap.test ./ --race --ldflags=-X github.com/solo-io/gloo/pkg/version.Version=1.0.1-dev --tags=purego
 4388 ttys028    0:02.05 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/pkg/bootstrap/clients/clients.test ./ --race --ldflags=-X github.com/solo-io/gloo/pkg/version.Version=1.0.1-dev --tags=purego
 4439 ttys028    0:05.88 /Users/samheilbron/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.22.2.darwin-arm64/pkg/tool/darwin_arm64/link -o /var/folders/d4/q46dpf096494flhbjf0x88bc0000gn/T/go-build3238706347/b001/bootstrap.test -importcfg /var/folders/d4/q46dpf096494flhbjf0x88bc0000gn/T/go-build3238706347/b001/importcfg.link -installsuffix race -buildmode=pie -buildid=LMJWq151uVafJcvnGHCV/stj1Qo1KJlbeGLjC6Xu5/-3p7z40LoB-Pk8b9-17K/LMJWq151uVafJcvnGHCV -race -X github.com/solo-io/gloo/pkg/version.Version=1.0.1-dev -X testing.testBinary=1 -extld=clang /var/folders/d4/q46dpf096494flhbjf0x88bc0000gn/T/go-build3238706347/b001/_pkg_.a
 4446 ttys028    0:05.39 /Users/samheilbron/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.22.2.darwin-arm64/pkg/tool/darwin_arm64/link -o /var/folders/d4/q46dpf096494flhbjf0x88bc0000gn/T/go-build759450114/b001/clients.test -importcfg /var/folders/d4/q46dpf096494flhbjf0x88bc0000gn/T/go-build759450114/b001/importcfg.link -installsuffix race -buildmode=pie -buildid=MV94nUonFTFhlti2VBGK/zwLaSxbD7mP4F_BbZH5v/mESftKX8zTyoz8V6unCH/MV94nUonFTFhlti2VBGK -race -X github.com/solo-io/gloo/pkg/version.Version=1.0.1-dev -X testing.testBinary=1 -extld=clang /var/folders/d4/q46dpf096494flhbjf0x88bc0000gn/T/go-build759450114/b001/_pkg_.a
 4649 ttys028    0:01.22 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/pkg/plugins/als/als.test ./ --race --ldflags=-X github.com/solo-io/gloo/pkg/version.Version=1.0.1-dev --tags=purego
 4676 ttys028    0:00.42 /Users/samheilbron/go/pkg/mod/golang.org/toolchain@v0.0.1-go1.22.2.darwin-arm64/pkg/tool/darwin_arm64/link -o /var/folders/d4/q46dpf096494flhbjf0x88bc0000gn/T/go-build4191679066/b001/als.test -importcfg /var/folders/d4/q46dpf096494flhbjf0x88bc0000gn/T/go-build4191679066/b001/importcfg.link -installsuffix race -buildmode=pie -buildid=r5n4a_qgUc1B5axgz-Ec/yPsg7CxLgL2d9D3sji2u/8U_fXLNDUwymzCpl2hD_/r5n4a_qgUc1B5axgz-Ec -race -X github.com/solo-io/gloo/pkg/version.Version=1.0.1-dev -X testing.testBinary=1 -extld=clang /var/folders/d4/q46dpf096494flhbjf0x88bc0000gn/T/go-build4191679066/b001/_pkg_.a
 4677 ttys028    0:00.84 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/pkg/plugins/aws/aws.test ./ --race --ldflags=-X github.com/solo-io/gloo/pkg/version.Version=1.0.1-dev --tags=purego
 4679 ttys028    0:00.53 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/pkg/plugins/aws/ec2/ec2.test ./ --race --ldflags=-X github.com/solo-io/gloo/pkg/version.Version=1.0.1-dev --tags=purego
50798 ttys028    0:12.25 -zsh
93539 ttys028    0:00.38 _output/.bin/ginkgo --dry-run -v --label-filter=performance ./...
94481 ttys028    0:01.93 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/cli/pkg/cmd/edit/settings/settings.test ./
94482 ttys028    0:01.84 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/cli/pkg/cmd/edit/settings/ratelimit/ratelimit.test ./
94483 ttys028    0:01.85 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/cli/pkg/cmd/edit/upstream/upstream.test ./
94484 ttys028    0:01.79 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/cli/pkg/cmd/gateway/gateway.test ./
94485 ttys028    0:01.58 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/cli/pkg/cmd/upgrade/upgrade.test ./
94486 ttys028    0:01.82 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/cli/pkg/cmd/install/install.test ./
94487 ttys028    0:01.87 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/cli/pkg/cmd/get/get.test ./
94488 ttys028    0:01.91 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/cli/pkg/cmd/remove/remove.test ./
94489 ttys028    0:01.88 go test -c -o /Users/samheilbron/go/src/github.com/solo-io/gloo/projects/gloo/cli/pkg/cmd/route/route.test ./
